1010 101 10 100
L_KFE_des_th L_KFE_des_thd L_KFE_des_thdd L_KFE_uff L_KFE_vff L_HFE_des_th L_HFE_des_thd L_HFE_des_thdd L_HFE_uff L_HFE_vff
0.330800 -0.645621 7.278768 -2.073726 -205.111257 1.000000 0.000000 0.000000 50.000000 0.000000
0.325072 -0.572834 7.027188 -2.502283 -206.669814 1.000000 0.000000 0.000000 50.000000 0.000000
0.320046 -0.502562 6.738312 -2.946425 -208.418418 1.000000 0.000000 0.000000 50.000000 0.000000
0.315695 -0.435179 6.411132 -3.408053 -210.368905 1.000000 0.000000 0.000000 50.000000 0.000000
0.311984 -0.371067 6.044640 -3.889186 -212.533418 1.000000 0.000000 0.000000 50.000000 0.000000
0.308878 -0.310621 5.637828 -4.391964 -214.924416 1.000000 0.000000 0.000000 50.000000 0.000000
0.306335 -0.254243 5.189688 -4.918652 -217.554667 1.000000 0.000000 0.000000 50.000000 0.000000
0.304312 -0.202346 4.699212 -5.471642 -220.437249 1.000000 0.000000 0.000000 50.000000 0.000000
0.302758 -0.155354 4.165392 -6.053459 -223.585555 1.000000 0.000000 0.000000 50.000000 0.000000
0.301621 -0.113700 3.587220 -6.666758 -227.013287 1.000000 0.000000 0.000000 50.000000 0.000000
0.300843 -0.077827 2.963688 -7.314335 -230.734458 1.000000 0.000000 0.000000 50.000000 0.000000
0.300361 -0.048191 2.293788 -7.999123 -234.763394 1.000000 0.000000 0.000000 50.000000 0.000000
0.300109 -0.025253 1.576512 -8.724201 -239.114732 1.000000 0.000000 0.000000 50.000000 0.000000
0.300014 -0.009488 0.810852 -9.492792 -243.383420 1.000000 0.000000 0.000000 50.000000 0.000000
0.300000 -0.001379 0.000000 -10.304070 -243.383420 1.000000 0.000000 0.000000 50.000000 0.000000
